platform	score	source
sega-model-2-3	3	Logo Builders/Builders/Sega Model 2+3/Am2_palmtree.svg
game-by-yuravector-no-space	3	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Game by yuravector (no space)/Indie Games.svg
x68000	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/x68000/logo.svg
capcom	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/capcom/logo.svg
supergrafx	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/supergrafx/logo.svg
macintosh	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/macintosh/logo.svg
system-beginning-ideas-of-collection	3	Logo Builders/z.old/system logos (beginning ideas of collection)/Milton_Bradley_Company_logo.svg
eighting-simple	3	Logo Builders/Builders/Eighting/開発実績 _ 株式会社エイティング-4.svg
samcoupe	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/samcoupe/logo.svg
arcade	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/arcade/logo.svg
wii	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/wii/logo.svg
ags	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ags/logo.svg
ps2	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ps2/logo.svg
ps3	3	Logo Builders/z.old/emulation station logos/es-theme-art-book-master/ps3/_inc/system.svg
ps1	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/psx/logo.svg
n64	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/n64/logo.svg
ps4	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Sony Playstation 4-04.svg
ps5	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Sony Playstation 5-03.svg
atari7800	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atari7800/logo.svg
gb	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gb/logo.svg
gamegear	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gamegear/logo.svg
gc	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/gc/logo.svg
residualvm	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/residualvm/logo.svg
zapperlogo	3	Logo Builders/z.old/system logos (beginning ideas of collection)/ZapperLogo/ZapperLogo.svg
system-beginning-ideas-of-collection-3do	3	Logo Builders/z.old/system logos (beginning ideas of collection)/3DO_Logo.svg
arcadia	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/arcadia/logo.svg
atari-7800	3	Logo Builders/z.old/emulation station logos/es-theme-tronkyfran-master/atari7800/art/atari_7800_wire.svg
sega-saturn	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/saturn/logo.svg
colecovision	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/colecovision/logo.svg
vecteezy-set-of-copyright-and-trademark-symbol-to-use-on-your-intellectual-property-144456	3	Logo Builders/z.old/system logos (beginning ideas of collection)/vecteezy_set-of-copyright-and-trademark-symbol-to-use-on-your-intellectual-property_144456/Free Copyright Vector.svg
ngp	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/ngp/logo.svg
fds	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/fds/logo.svg
sg-1000	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/sg-1000/logo.svg
auto-lastplayed	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/auto-lastplayed/logo.svg
atarijaguar	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/atarijaguar/logo.svg
pc88	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/pc88/logo.svg
zxspectrum	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/zxspectrum/logo.svg
acorn-archimedes	3	Logo Builders/References/Acorn Archimedes/Archimedes_Computer_Logo_Recreation_cropped.svg
sega32x	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/sega32x/logo.svg
scummvm	3	Logo Builders/z.old/emulation station logos/es-theme-eudora-master/scummvm/logo.svg
futura-pt-bold	5	SVGs (vector) (Full Set) v2.1/Matching Word Options (Ports, All Games etc)/Black (Futura PT Bold)/Indie Games.svg
wii-u	3	SVGs (vector) (Full Set) v2.1/Dark - Color/Consoles/Nintendo Wii U-15.svg
